Finder run KdTree, 500, 31, 1.725265517241e+01, 6.638663323629e-02, 1.688100000000e+01, 2.458100000000e+01
Finder run UniformGrid, 505, 60, 8.704862068966e+00, 4.490335807067e-05, 8.614000000000e+00, 8.884000000000e+00
Finder run BruteForce, 501, 256, 1.972145669291e+00, 1.140393239424e-06, 1.945000000000e+00, 2.076000000000e+00
Finder build KdTree Sequential, 986, 10, 1.223095000000e+02, 3.056064781250e+00, 1.159620000000e+02, 1.326660000000e+02
Finder build KdTree ThreadPool, 1319, 10, 1.645610000000e+02, 4.223091249987e-01, 1.615020000000e+02, 1.681540000000e+02
Finder build KdTree Tbb, 520, 14, 4.302516666667e+01, 7.570701157410e-02, 4.145600000000e+01, 4.503200000000e+01
LutKernel sequential, 500, 5206, 9.552267486549e-02, 1.257987128899e-09, 9.200000000000e-02, 1.180000000000e-01
LutKernel random, 500, 1522, 3.285342105263e-01, 1.366785883579e-08, 3.210000000000e-01, 3.580000000000e-01
BruteForceGravity, 1311, 10, 1.639018750000e+02, 9.064680576173e+00, 1.450590000000e+02, 1.697840000000e+02
BarnesHut Octupole 0.2, 64146, 10, 8.017467250000e+03, 4.889432805590e+01, 7.985239000000e+03, 8.050672000000e+03
BarnesHut Octupole 0.5, 7922, 10, 9.894348750000e+02, 2.020714669925e+00, 9.815780000000e+02, 9.933600000000e+02
BarnesHut Octupole 0.8, 2968, 10, 3.701281250000e+02, 5.930298261737e-01, 3.677360000000e+02, 3.735230000000e+02
BarnesHut Octupole 5, 525, 16, 3.693371428571e+01, 1.782800291575e-03, 3.664800000000e+01, 3.723500000000e+01
BarnesHut Monopole 0.2, 43586, 10, 5.447488375000e+03, 2.162032221770e+01, 5.428827000000e+03, 5.467719000000e+03
BarnesHut Monopole 0.5, 4566, 10, 5.698470000000e+02, 2.658969687545e-01, 5.681040000000e+02, 5.731140000000e+02
BarnesHut build Sequential, 1300, 10, 1.613532500000e+02, 2.286560546872e-01, 1.600100000000e+02, 1.639430000000e+02
BarnesHut build ThreadPool, 1889, 10, 2.347728750000e+02, 4.547571074245e-01, 2.321190000000e+02, 2.374560000000e+02
BarnesHut build Tbb, 898, 10, 1.110613750000e+02, 1.964655605466e-01, 1.097820000000e+02, 1.137180000000e+02
HardSphereSolver bounce, 508, 41, 1.303205128205e+01, 1.263615367745e-04, 1.286700000000e+01, 1.319400000000e+01
HardSphereSolver merge, 504, 36, 1.484311764706e+01, 1.120014146142e-02, 1.406800000000e+01, 1.566700000000e+01
std::map 10, 500, 10554, 4.674677786202e-02, 3.762135866032e-10, 4.500000000000e-02, 6.200000000000e-02
Sph::Map 10, 500, 10636, 4.633505736318e-02, 2.340354866975e-10, 4.500000000000e-02, 5.800000000000e-02
std::map 100, 500, 5438, 9.145051508462e-02, 4.010940897072e-09, 8.600000000000e-02, 1.280000000000e-01
Sph::Map 100, 500, 6775, 7.325483537576e-02, 1.996754035057e-09, 7.000000000000e-02, 1.050000000000e-01
std::map 1000, 500, 2384, 2.094387069689e-01, 2.152312072154e-08, 1.970000000000e-01, 2.450000000000e-01
Sph::Map 1000, 500, 4317, 1.153652375435e-01, 6.927161878524e-09, 1.080000000000e-01, 1.570000000000e-01
std::map 10000, 500, 1276, 3.922244897959e-01, 1.448014732033e-07, 3.760000000000e-01, 4.780000000000e-01
Sph::Map 10000, 500, 1469, 3.403312883436e-01, 6.712500917260e-08, 3.270000000000e-01, 3.870000000000e-01
SymmetricSolver simple, 5689, 10, 6.915092500000e+02, 5.195503429677e+00, 6.822950000000e+02, 7.049590000000e+02
AsymmetricSolver simple, 3449, 10, 4.283313750000e+02, 2.056953841802e+00, 4.213950000000e+02, 4.344940000000e+02
EnergyConservingSolver simple, 8351, 10, 1.018079875000e+03, 2.250138882615e+01, 1.000185000000e+03, 1.038913000000e+03
GravitySolver simple, 16630, 10, 2.078030750000e+03, 6.824018360348e-01, 2.073544000000e+03, 2.080883000000e+03
EulerExplicit N=1e5, 1698, 10, 2.122403750000e+02, 2.313974042963e-01, 2.108360000000e+02, 2.154280000000e+02
LeapFrog N=1e5, 1685, 10, 2.106246250000e+02, 1.043854667960e-01, 2.097010000000e+02, 2.126500000000e+02
PredictorCorrector N=1e5, 1519, 10, 1.899067500000e+02, 6.807964843756e-02, 1.889660000000e+02, 1.912620000000e+02
EulerExplicit N=1e6, 24255, 10, 3.031207500000e+03, 9.992363155819e+00, 3.015067000000e+03, 3.044892000000e+03
LeapFrog N=1e6, 23062, 10, 2.882060000000e+03, 5.021601968561e+00, 2.868376000000e+03, 2.888885000000e+03
PredictorCorrector N=1e6, 1534, 10, 1.917778750000e+02, 9.141813867245e-02, 1.907490000000e+02, 1.935200000000e+02
