Finder run KdTree, 515, 32, 1.719333333333e+01, 5.384051851839e-04, 1.697500000000e+01, 1.747800000000e+01
Finder run UniformGrid, 506, 59, 8.877596491228e+00, 3.021771989225e-04, 8.587000000000e+00, 9.272000000000e+00
Finder run BruteForce, 500, 251, 2.008333333333e+00, 5.890539399916e-06, 1.938000000000e+00, 2.077000000000e+00
Finder build KdTree Sequential, 844, 10, 1.050177500000e+02, 7.136586796876e-01, 1.025180000000e+02, 1.087520000000e+02
Finder build KdTree ThreadPool, 1393, 10, 1.736287500000e+02, 1.211716171879e-01, 1.719450000000e+02, 1.750400000000e+02
Finder build KdTree Tbb, 607, 10, 7.538700000000e+01, 3.569103124994e-02, 7.442400000000e+01, 7.610000000000e+01
LutKernel sequential, 500, 5159, 9.643009501649e-02, 1.436606636389e-09, 9.200000000000e-02, 1.240000000000e-01
LutKernel random, 500, 1482, 3.374500000000e-01, 5.217599525180e-08, 3.250000000000e-01, 4.100000000000e-01
BruteForceGravity, 1320, 10, 1.649672500000e+02, 8.934623898438e+00, 1.433550000000e+02, 1.699860000000e+02
BarnesHut Octupole 0.2, 73113, 10, 9.137792000000e+03, 2.718463599402e+02, 9.076842000000e+03, 9.212772000000e+03
BarnesHut Octupole 0.5, 9100, 10, 1.136110125000e+03, 1.389917919965e+00, 1.132856000000e+03, 1.141714000000e+03
BarnesHut Octupole 0.8, 3405, 10, 4.242880000000e+02, 3.448234687494e-01, 4.226110000000e+02, 4.284780000000e+02
BarnesHut Octupole 5, 557, 14, 4.547325000000e+01, 8.153751736018e-03, 4.503400000000e+01, 4.597800000000e+01
BarnesHut Monopole 0.2, 43783, 10, 5.471626250000e+03, 1.355608527409e+01, 5.455660000000e+03, 5.491700000000e+03
BarnesHut Monopole 0.5, 4564, 10, 5.692396250000e+02, 6.105896855443e-01, 5.653750000000e+02, 5.733040000000e+02
BarnesHut build Sequential, 1545, 10, 1.915918750000e+02, 2.190978886720e-01, 1.890080000000e+02, 1.932280000000e+02
BarnesHut build ThreadPool, 2158, 10, 2.674056250000e+02, 1.021630246680e+01, 2.589420000000e+02, 2.882650000000e+02
std::map 10, 500, 10507, 4.708329366968e-02, 1.664275645139e-10, 4.500000000000e-02, 6.800000000000e-02
Sph::Map 10, 500, 10572, 4.667568590350e-02, 1.109354430134e-10, 4.600000000000e-02, 6.500000000000e-02
std::map 100, 500, 6578, 7.550015206812e-02, 3.421162847855e-09, 7.200000000000e-02, 1.460000000000e-01
Sph::Map 100, 500, 5810, 8.556404958678e-02, 4.783826643039e-09, 8.200000000000e-02, 1.600000000000e-01
std::map 1000, 500, 2511, 1.988330011957e-01, 1.728347939451e-07, 1.880000000000e-01, 4.800000000000e-01
Sph::Map 1000, 500, 3896, 1.278500256805e-01, 1.700455957906e-09, 1.240000000000e-01, 1.410000000000e-01
std::map 10000, 500, 1236, 4.048646677472e-01, 1.865331015050e-07, 3.860000000000e-01, 5.560000000000e-01
Sph::Map 10000, 500, 1407, 3.555516014235e-01, 5.010116431632e-07, 3.390000000000e-01, 6.810000000000e-01
SymmetricSolver simple, 10820, 10, 1.328774750000e+03, 1.612386550648e+03, 1.197876000000e+03, 1.500081000000e+03
AsymmetricSolver simple, 6576, 10, 8.176647500000e+02, 2.447360655466e+01, 7.973530000000e+02, 8.425930000000e+02
EnergyConservingSolver simple, 9829, 10, 1.180617000000e+03, 4.433467337501e+01, 1.161693000000e+03, 1.228340000000e+03
GravitySolver simple, 23787, 10, 2.968392500000e+03, 2.854042003118e+01, 2.952211000000e+03, 2.988734000000e+03
