Finder run KdTree, 512, 31, 1.766786206897e+01, 7.161203025954e-02, 1.714500000000e+01, 2.521600000000e+01
Finder run UniformGrid, 503, 59, 8.830087719298e+00, 3.856505267479e-04, 8.526000000000e+00, 9.153000000000e+00
Finder run BruteForce, 500, 254, 1.986738095238e+00, 6.767332991380e-06, 1.927000000000e+00, 2.083000000000e+00
Finder build KdTree Sequential, 827, 10, 1.031221250000e+02, 1.185389232422e+00, 9.904500000000e+01, 1.084270000000e+02
Finder build KdTree ThreadPool, 1452, 10, 1.810785000000e+02, 3.450316437501e+00, 1.746470000000e+02, 1.905610000000e+02
Finder build KdTree Tbb, 683, 10, 8.479537500000e+01, 3.586211810547e+00, 7.874900000000e+01, 9.693300000000e+01
LutKernel sequential, 500, 5180, 9.595519505601e-02, 1.257720523910e-09, 9.200000000000e-02, 1.550000000000e-01
LutKernel random, 500, 1504, 3.325039946738e-01, 3.291903561880e-08, 3.190000000000e-01, 3.570000000000e-01
BruteForceGravity, 1273, 10, 1.591258750000e+02, 9.312861201171e+00, 1.465860000000e+02, 1.693090000000e+02
BarnesHut Octupole 0.2, 65305, 10, 8.161715250000e+03, 9.479328796081e+01, 8.110307000000e+03, 8.206988000000e+03
BarnesHut Octupole 0.5, 7915, 10, 9.883575000000e+02, 9.779598437453e-01, 9.838280000000e+02, 9.928390000000e+02
BarnesHut Octupole 0.8, 2987, 10, 3.720890000000e+02, 1.949166875020e-01, 3.711920000000e+02, 3.751710000000e+02
BarnesHut Octupole 5, 528, 16, 3.710535714286e+01, 2.282669460637e-03, 3.682100000000e+01, 3.750300000000e+01
BarnesHut Monopole 0.2, 43790, 10, 5.472347625000e+03, 5.063281521620e+01, 5.434322000000e+03, 5.505184000000e+03
BarnesHut Monopole 0.5, 4605, 10, 5.744861250000e+02, 9.977873886892e-01, 5.709770000000e+02, 5.789650000000e+02
BarnesHut build Sequential, 1342, 10, 1.661878750000e+02, 6.695070761721e-01, 1.639300000000e+02, 1.706130000000e+02
BarnesHut build ThreadPool, 1989, 10, 2.471601250000e+02, 3.110929232419e+00, 2.423410000000e+02, 2.581690000000e+02
BarnesHut build Tbb, 1294, 10, 1.600202500000e+02, 3.098995234377e-01, 1.566340000000e+02, 1.621640000000e+02
HardSphereSolver bounce, 510, 42, 1.276942500000e+01, 7.158198593743e-04, 1.248500000000e+01, 1.309900000000e+01
HardSphereSolver merge, 501, 37, 1.434042857143e+01, 9.669793119534e-03, 1.360000000000e+01, 1.502500000000e+01
std::map 10, 500, 10701, 4.608309187775e-02, 1.713581815696e-10, 4.500000000000e-02, 9.000000000000e-02
Sph::Map 10, 500, 10551, 4.683733055266e-02, 9.056037965402e-10, 4.500000000000e-02, 1.090000000000e-01
std::map 100, 500, 5601, 8.878103232720e-02, 9.460889608874e-09, 8.300000000000e-02, 1.520000000000e-01
Sph::Map 100, 500, 6807, 7.295091844232e-02, 2.695463837256e-09, 6.700000000000e-02, 1.190000000000e-01
std::map 1000, 500, 2543, 1.962648563558e-01, 2.356020866961e-08, 1.890000000000e-01, 2.750000000000e-01
Sph::Map 1000, 500, 4372, 1.138864988558e-01, 1.018160194977e-09, 1.080000000000e-01, 1.250000000000e-01
std::map 10000, 501, 1266, 3.953417721519e-01, 9.018113298353e-07, 3.750000000000e-01, 7.560000000000e-01
Sph::Map 10000, 500, 1428, 3.501360448808e-01, 1.831030252094e-07, 3.380000000000e-01, 4.520000000000e-01
SymmetricSolver simple, 4422, 10, 5.278657500000e+02, 9.369506773452e+00, 5.146770000000e+02, 5.418240000000e+02
AsymmetricSolver simple, 2785, 10, 3.435065000000e+02, 1.496236150000e+01, 3.358660000000e+02, 3.673640000000e+02
EnergyConservingSolver simple, 221190, 10, 5.553282500000e+02, 7.610493835942e+00, 5.438000000000e+02, 5.703290000000e+02
GravitySolver simple, 16349, 10, 2.039421750000e+03, 2.177095642965e+01, 2.026147000000e+03, 2.059864000000e+03
EulerExplicit N=1e5, 1679, 10, 2.098546250000e+02, 1.315623417950e-01, 2.082380000000e+02, 2.118530000000e+02
LeapFrog N=1e5, 1635, 10, 2.033477500000e+02, 1.817749609372e-01, 2.022560000000e+02, 2.061830000000e+02
PredictorCorrector N=1e5, 1484, 10, 1.852242500000e+02, 2.080046171877e-01, 1.839300000000e+02, 1.880370000000e+02
EulerExplicit N=1e6, 23812, 10, 2.974420500000e+03, 1.881220353115e+01, 2.958273000000e+03, 2.997964000000e+03
LeapFrog N=1e6, 22535, 10, 2.815300500000e+03, 5.346565875027e+01, 2.792405000000e+03, 2.864280000000e+03
PredictorCorrector N=1e6, 1484, 10, 1.854838750000e+02, 3.076635742309e-02, 1.847200000000e+02, 1.861590000000e+02
